企业名称,统代,科技标签_高新技术产业,是否国企,龙头企业级别,2022从业人数,2023从业人数,2024从业人数,2022利润总额,2024资产总收入,2024负债总数,2024资产负债率,实际授信额度,实际授信额度区间
嘉禾网络股份有限公司001344,9.139136e+017,1,1,国家级,5,5,4,565,20051129,10815242,0.5394,25610,"(24530.0, 27972.0]"
金鼎物流有限公司001345,9.1308523e+017,0,0,省级,3,,3,565,48372953,7367740,0.1523,6170,"(3620.0, 7318.0]"
鼎盛装备有限公司001346,9.13320253423867e+017,0,1,市级,6,,6,676767,26576864,5494496,0.2067,10360,"(7318.0, 11047.0]"
中原化工股份有限公司001347,9.13087721e+017,0,1,市级,6,6,7,-2323432,47484173,41260700,0.8689,26250,"(24530.0, 27972.0]"
联创网络有限责任公司001348,9.1372542654168939e+017,0,1,省级,1,2,7,-3434545,1352925,905283,0.6691,3040,"(49.999, 3620.0]"
鼎盛医药集团有限公司001349,9.1378680704235731e+017,1,0,县级,6,5,7,6767,34412042,19577092,0.5689,32610,"(31390.0, 35000.0]"
联创建设股份有限公司001350,9.13508849499e+017,1,1,县级,,2,3,5656,3927109,1419896,0.3616,29530,"(27972.0, 31390.0]"
瑞丰生物有限责任公司001351,9.135422595513305e+017,0,0,省级,2,2,1,-3434545,24152016,2793503,0.1157,23750,"(21190.0, 24530.0]"
华信能源股份有限公司001352,9.1365905e+017,0,1,,1,6,,565,33512443,10984045,0.3278,16870,"(14492.0, 17830.0]"
永泰智能集团有限公司001353,9.13812817189935e+017,1,1,,2,6,5,6767,2753375,2598476,0.9437,19140,"(17830.0, 21190.0]"
远航医药集团有限公司001354,9.13088e+017,1,,县级,4,5,7,-3434545,14693325,1664712,0.1133,33500,"(31390.0, 35000.0]"
金鼎能源股份有限公司001355,9.13851002e+017,0,,,7,3,,343434,35838632,4873061,0.136,33390,"(31390.0, 35000.0]"
华泰医药集团有限公司001356,9.1314999703204347e+017,1,0,,,5,,5656,37020129,17529914,0.4735,26030,"(24530.0, 27972.0]"
远航物流集团有限公司001357,9.13355e+017,1,1,,,1,3,565656,4504742,273835,0.0608,120,"(49.999, 3620.0]"
华泰网络有限公司001358,9.13618989878e+017,1,1,市级,7,2,2,676767,24080729,10377274,0.4309,24490,"(21190.0, 24530.0]"
宏达纺织集团有限公司001359,9.1348e+017,1,1,市级,5,,7,5656,5738793,3039999,0.5297,22040,"(21190.0, 24530.0]"
嘉禾生物有限公司001360,9.13964031575e+017,1,0,市级,5,1,7,5656,15088531,4564196,0.3025,29710,"(27972.0, 31390.0]"
华泰材料有限责任公司001361,9.13063856e+017,,0,国家级,,3,7,676767,15906705,9149159,0.5752,7880,"(7318.0, 11047.0]"
盛世能源有限责任公司001362,9.13407896e+017,1,0,省级,4,3,6,343434,45897875,29098922,0.634,14750,"(14492.0, 17830.0]"
金鼎机械股份有限公司001363,9.1311246175780410e+017,1,1,县级,7,,,565,713968,630440,0.883,27330,"(24530.0, 27972.0]"
嘉禾食品股份有限公司001364,9.13101e+017,1,0,省级,2,2,3,-2323432,4079160,2758057,0.6761,20430,"(17830.0, 21190.0]"
鼎盛食品股份有限公司001365,9.13490304381779e+017,0,0,国家级,6,3,,343434,9133107,2988005,0.3272,10050,"(7318.0, 11047.0]"
宏达材料有限责任公司001366,9.136518127e+017,1,,省级,1,6,1,565656,19455024,5263652,0.2706,31490,"(31390.0, 35000.0]"
盛世医药股份有限公司001367,9.135123e+017,,1,,3,7,4,-2323432,19965434,1507409,0.0755,19260,"(17830.0, 21190.0]"
星河环保有限责任公司001368,9.132144e+017,0,1,县级,,,1,676767,43694940,25113746,0.5748,16510,"(14492.0, 17830.0]"
中原物流有限责任公司001369,9.13999442618455e+017,0,1,省级,6,7,3,6767,28582351,4513930,0.1579,12990,"(11047.0, 14492.0]"
远航环保集团有限公司001370,9.1332358593580352e+017,0,1,县级,6,,1,343434,39058675,30673746,0.7853,25110,"(24530.0, 27972.0]"
天成智能有限责任公司001371,9.137777444964930e+017,1,,国家级,5,6,7,6767,19876335,17309544,0.8709,10660,"(7318.0, 11047.0]"
联创纺织集团有限公司001372,9.1385460912104072e+017,1,1,,4,,6,5656,24595163,18989781,0.7721,14960,"(14492.0, 17830.0]"
华泰建设股份有限公司001373,9.1326251743160e+017,0,0,省级,1,5,7,565,42528450,30571823,0.7189,34550,"(31390.0, 35000.0]"
天成网络集团有限公司001374,9.1317949645e+017,1,1,市级,2,5,5,343434,10471998,4858339,0.4639,11000,"(7318.0, 11047.0]"
创元纺织有限公司001375,9.133224023936e+017,0,0,市级,2,2,4,565,45804759,32296577,0.7051,11840,"(11047.0, 14492.0]"
启明材料有限公司001376,9.1350e+017,0,0,,1,4,,565,37173046,14497332,0.39,6740,"(3620.0, 7318.0]"
华泰食品股份有限公司001377,9.13423935433e+017,1,0,省级,6,5,7,6767,48295380,43593127,0.9026,21590,"(21190.0, 24530.0]"
博雅材料有限责任公司001378,9.1348696e+017,1,,市级,1,,,343434,32964358,14732442,0.4469,100,"(49.999, 3620.0]"
天成环保股份有限公司001379,9.1333773129734e+017,0,,省级,1,1,5,565656,30512127,7621416,0.2498,22820,"(21190.0, 24530.0]"
嘉禾建设有限公司001380,9.1307220871218e+017,1,0,市级,6,3,7,-2323432,35364728,6522665,0.1844,1140,"(49.999, 3620.0]"
华泰贸易有限公司001381,9.13579032308e+017,0,0,市级,2,1,7,565656,41965007,21590364,0.5145,31980,"(31390.0, 35000.0]"
嘉禾食品股份有限公司001382,9.13587558509591e+017,1,1,县级,,7,1,676767,3259440,1464569,0.4493,1030,"(49.999, 3620.0]"
华信生物有限公司001383,9.13204384e+017,1,1,,4,3,2,5656,28906382,26301671,0.9099,20590,"(17830.0, 21190.0]"
鼎盛纺织有限责任公司001384,9.1378e+017,1,1,县级,3,3,2,343434,7255092,3142690,0.4332,11780,"(11047.0, 14492.0]"
汇通信息股份有限公司001385,9.1339789537701e+017,0,0,国家级,,4,4,565,28875708,8972468,0.3107,6240,"(3620.0, 7318.0]"
华泰生物有限公司001386,9.13704079e+017,0,0,县级,3,5,2,6767,16665674,15630894,0.9379,10640,"(7318.0, 11047.0]"
博雅装备集团有限公司001387,9.137125672e+017,0,,市级,4,,1,-3434545,14902601,9707662,0.6514,31730,"(31390.0, 35000.0]"
金鼎生物有限公司001388,9.137836903e+017,0,,省级,7,3,6,5656,26162396,10271139,0.3926,13990,"(11047.0, 14492.0]"
华泰纺织有限公司001389,9.137060074614337e+017,0,1,国家级,3,2,3,565656,18015891,10897437,0.6049,22000,"(21190.0, 24530.0]"
鼎盛能源股份有限公司001390,9.1321577405e+017,1,1,省级,3,3,5,565656,48969264,30519444,0.6232,27090,"(24530.0, 27972.0]"
启明信息股份有限公司001391,9.136349e+017,,0,省级,,2,3,6767,4362744,1202473,0.2756,25760,"(24530.0, 27972.0]"
创元建设有限责任公司001392,9.134845677154176e+017,,1,省级,1,,4,343434,14301698,11799603,0.825,5080,"(3620.0, 7318.0]"
鼎盛贸易股份有限公司001393,9.136664760852085e+017,0,1,市级,4,6,4,343434,44885902,40464611,0.9015,20180,"(17830.0, 21190.0]"
启明装备集团有限公司001394,9.13544220618e+017,1,1,省级,4,3,5,565656,9116733,5323772,0.584,21720,"(21190.0, 24530.0]"
联创网络有限责任公司001395,9.1363903214e+017,,0,省级,7,6,7,676767,4240849,1662044,0.3919,1470,"(49.999, 3620.0]"
鼎盛贸易有限责任公司001396,9.138558755245e+017,0,0,市级,2,,1,565656,17739237,11561113,0.6517,20870,"(17830.0, 21190.0]"
永泰信息股份有限公司001397,9.131355669633895e+017,1,0,省级,3,6,2,5656,38477555,32387535,0.8417,18600,"(17830.0, 21190.0]"
瑞丰食品有限责任公司001398,9.13762936842685e+017,0,1,县级,1,5,5,-2323432,49422884,21694100,0.4389,31790,"(31390.0, 35000.0]"
星河科技集团有限公司001399,9.1338e+017,1,0,市级,1,,7,-2323432,5272638,3142733,0.596,33350,"(31390.0, 35000.0]"
博雅网络有限公司001400,9.13656e+017,1,0,,6,3,4,6767,48628185,14277028,0.2936,12530,"(11047.0, 14492.0]"
金鼎能源有限公司001401,9.13755984142024e+017,1,,市级,3,2,3,676767,6229969,5662846,0.909,22100,"(21190.0, 24530.0]"
金鼎网络有限责任公司001402,9.13043109e+017,0,0,省级,6,2,7,-3434545,40908995,31176563,0.7621,23190,"(21190.0, 24530.0]"
天成科技有限责任公司001403,9.13617275735e+017,1,0,国家级,6,2,4,5656,14905000,7311900,0.4906,26390,"(24530.0, 27972.0]"
创元电子集团有限公司001404,9.13021501343e+017,0,1,市级,4,3,2,565,38828575,27975126,0.7205,32760,"(31390.0, 35000.0]"
星河能源股份有限公司001405,9.13912e+017,1,0,市级,7,2,7,343434,8931357,5293785,0.5927,34100,"(31390.0, 35000.0]"
星河化工有限责任公司001406,9.1310044364364e+017,1,0,县级,3,1,1,565,12647551,11821940,0.9347,27630,"(24530.0, 27972.0]"
博雅纺织股份有限公司001407,9.138352780878571e+017,0,0,市级,2,7,,-2323432,31197478,19227823,0.6163,2350,"(49.999, 3620.0]"
中原装备股份有限公司001408,9.134658617e+017,0,1,国家级,1,1,2,565,23058377,11829663,0.513,5800,"(3620.0, 7318.0]"
中原信息有限责任公司001409,9.1315463517573518e+017,1,1,县级,7,2,6,-3434545,23836878,15104392,0.6337,15550,"(14492.0, 17830.0]"
华泰科技集团有限公司001410,9.139648e+017,1,,省级,5,7,1,6767,15445523,10577174,0.6848,26280,"(24530.0, 27972.0]"
永泰纺织集团有限公司001411,9.1376604e+017,0,1,国家级,,3,4,565656,24813921,19981686,0.8053,26010,"(24530.0, 27972.0]"
永泰贸易集团有限公司001412,9.13392295e+017,,1,省级,1,2,2,-2323432,9679356,1545539,0.1597,22960,"(21190.0, 24530.0]"
嘉禾纺织集团有限公司001413,9.13476790078244e+017,1,1,市级,4,6,5,676767,40597337,4018799,0.099,8160,"(7318.0, 11047.0]"
博雅贸易有限公司001414,9.135592562972e+017,1,0,省级,4,,5,6767,34865109,14560618,0.4176,8660,"(7318.0, 11047.0]"
博雅装备有限公司001415,9.134723344666105e+017,0,1,,4,3,4,-2323432,48258253,28721605,0.5952,33630,"(31390.0, 35000.0]"
启明装备集团有限公司001416,9.13494039e+017,,1,市级,4,4,7,343434,49681572,35849666,0.7216,31080,"(27972.0, 31390.0]"
华信生物集团有限公司001417,9.130169347691e+017,0,0,县级,2,,5,676767,46767721,29940533,0.6402,9380,"(7318.0, 11047.0]"
金鼎材料股份有限公司001418,9.1318520e+017,0,0,市级,6,5,1,343434,10833590,9613098,0.8873,6510,"(3620.0, 7318.0]"
金鼎生物集团有限公司001419,9.13270e+017,0,1,国家级,2,7,7,6767,4567298,1424905,0.312,27850,"(24530.0, 27972.0]"
盛世化工有限公司001420,9.1301e+017,0,1,省级,5,1,,6767,30735161,14979151,0.4874,31720,"(31390.0, 35000.0]"
汇通科技有限责任公司001421,9.137469117087027e+017,0,0,,3,5,2,676767,32376646,4932882,0.1524,20950,"(17830.0, 21190.0]"
华信智能集团有限公司001422,9.131600e+017,1,0,国家级,6,6,7,6767,13663068,4163533,0.3047,29830,"(27972.0, 31390.0]"
星河智能有限公司001423,9.1311679e+017,1,0,省级,6,3,4,5656,10002277,6401322,0.64,14830,"(14492.0, 17830.0]"
中原纺织股份有限公司001424,9.132902515386426e+017,1,0,国家级,4,1,1,565,7536783,1142921,0.1516,20750,"(17830.0, 21190.0]"
金鼎贸易集团有限公司001425,9.13984e+017,,,市级,1,7,3,-2323432,19085987,17194211,0.9009,990,"(49.999, 3620.0]"
联创信息有限责任公司001426,9.1379700830e+017,1,1,市级,5,3,3,676767,30069542,3189063,0.1061,20090,"(17830.0, 21190.0]"
华泰能源集团有限公司001427,9.132901832051e+017,0,0,,3,,2,676767,43132947,25252127,0.5854,18660,"(17830.0, 21190.0]"
星河化工有限责任公司001428,9.13174e+017,1,0,县级,7,,5,-3434545,2077712,438175,0.2109,14950,"(14492.0, 17830.0]"
博雅电子有限公司001429,9.13904481388e+017,0,,市级,7,5,5,-3434545,42429270,27223783,0.6416,8040,"(7318.0, 11047.0]"
创元电子股份有限公司001430,9.130170921764517e+017,1,0,省级,6,7,4,-2323432,39323214,32420438,0.8245,2960,"(49.999, 3620.0]"
创元科技集团有限公司001431,9.132095928489873e+017,1,1,县级,3,3,3,676767,29656613,13772647,0.4644,6690,"(3620.0, 7318.0]"
金鼎能源股份有限公司001432,9.13639846484427e+017,0,0,县级,2,3,6,-3434545,47078066,40535507,0.861,6740,"(3620.0, 7318.0]"
创元装备集团有限公司001433,9.133340620e+017,0,0,,2,,6,6767,30565666,12676653,0.4147,27140,"(24530.0, 27972.0]"
博雅信息股份有限公司001434,9.133357e+017,0,1,国家级,1,6,6,565,27990601,6734606,0.2406,7300,"(3620.0, 7318.0]"
瑞丰机械有限责任公司001435,9.13421884246e+017,0,,,2,3,,5656,22885738,6605373,0.2886,19180,"(17830.0, 21190.0]"
启明纺织集团有限公司001436,9.13735399e+017,1,0,,3,6,3,-3434545,12047620,6963190,0.578,11850,"(11047.0, 14492.0]"
联创智能集团有限公司001437,9.1357e+017,0,0,国家级,,3,,343434,14880139,12216131,0.821,21710,"(21190.0, 24530.0]"
鼎盛智能有限责任公司001438,9.1301460e+017,1,1,国家级,2,3,2,5656,43046472,28518246,0.6625,21960,"(21190.0, 24530.0]"
联创环保股份有限公司001439,9.130614715e+017,0,0,省级,2,3,,676767,4385672,2267328,0.517,32640,"(31390.0, 35000.0]"
嘉禾食品集团有限公司001440,9.13212086149842e+017,,1,县级,1,1,,565656,11176820,6171053,0.5521,19730,"(17830.0, 21190.0]"
瑞丰网络有限责任公司001441,9.1307372386e+017,0,1,省级,5,,1,-3434545,5789309,1739329,0.3004,11760,"(11047.0, 14492.0]"
永泰装备集团有限公司001442,9.1330557797983e+017,1,0,,6,7,4,676767,31677269,21470100,0.6778,27070,"(24530.0, 27972.0]"
宏达科技股份有限公司001443,9.130285869660963e+017,1,1,,5,6,,565656,15527351,8739111,0.5628,11540,"(11047.0, 14492.0]"
创元化工有限责任公司001444,9.13418024594085e+017,0,1,省级,3,7,,676767,8792652,3521262,0.4005,11960,"(11047.0, 14492.0]"
中原贸易有限责任公司001445,9.13374852512e+017,0,1,,4,7,5,565656,30115260,21094604,0.7005,33750,"(31390.0, 35000.0]"
瑞丰食品有限责任公司001446,9.133967e+017,1,0,省级,7,2,7,-3434545,42683001,37006204,0.867,30830,"(27972.0, 31390.0]"
创元机械集团有限公司001447,9.1395753851e+017,0,1,省级,,,3,565,38375541,26596122,0.693,14070,"(11047.0, 14492.0]"
创元建设股份有限公司001448,9.1333461189787372e+017,0,1,省级,,2,6,-2323432,4096385,2089196,0.51,11150,"(11047.0, 14492.0]"
宏达医药集团有限公司001449,9.1385e+017,1,1,,,,1,6767,25909529,2421057,0.0934,33030,"(31390.0, 35000.0]"
博雅材料有限公司001450,9.1336767777365e+017,1,1,市级,,5,1,-2323432,36358067,3397711,0.0935,22710,"(21190.0, 24530.0]"
华信物流有限公司001451,9.136939e+017,1,0,省级,2,,3,676767,16885153,3914622,0.2318,28550,"(27972.0, 31390.0]"
启明科技有限责任公司001452,9.130702640626067e+017,1,1,国家级,2,1,6,565,20992737,19448180,0.9264,2910,"(49.999, 3620.0]"
宏达电子集团有限公司001453,9.13973029406e+017,1,0,国家级,3,4,1,-3434545,19269592,10718486,0.5562,17250,"(14492.0, 17830.0]"
启明生物有限公司001454,9.1394951659919e+017,1,1,市级,5,4,1,5656,12229033,6521885,0.5333,22420,"(21190.0, 24530.0]"
博雅机械集团有限公司001455,9.138678554701897e+017,1,1,国家级,3,2,,565,4968768,4579620,0.9217,10610,"(7318.0, 11047.0]"
盛世环保集团有限公司001456,9.130041770734e+017,,0,国家级,4,1,5,565,28521882,14006619,0.4911,9400,"(7318.0, 11047.0]"
天成装备有限责任公司001457,9.137542e+017,0,1,市级,1,5,7,-3434545,25959808,21980642,0.8467,3640,"(3620.0, 7318.0]"
盛世贸易股份有限公司001458,9.13616689409363e+017,1,0,市级,,4,,5656,49942800,23537363,0.4713,14730,"(14492.0, 17830.0]"
天成材料集团有限公司001459,9.136961921e+017,0,1,县级,1,1,5,565,12673889,2135917,0.1685,7740,"(7318.0, 11047.0]"
启明食品集团有限公司001460,9.13963e+017,0,1,市级,5,6,5,5656,35372046,17104556,0.4836,12500,"(11047.0, 14492.0]"
创元能源有限公司001461,9.13274e+017,1,0,县级,5,2,3,343434,5373491,2309314,0.4298,30020,"(27972.0, 31390.0]"
启明贸易有限责任公司001462,9.1360622e+017,,0,县级,7,5,7,-3434545,45879962,29199248,0.6364,19160,"(17830.0, 21190.0]"
汇通建设有限责任公司001463,9.1303e+017,0,0,省级,4,4,3,6767,35052798,11513064,0.3284,24950,"(24530.0, 27972.0]"
宏达科技股份有限公司001464,9.13188e+017,,0,国家级,6,7,4,5656,21902138,3604922,0.1646,32560,"(31390.0, 35000.0]"
嘉禾科技集团有限公司001465,9.13111281779036e+017,1,0,市级,7,6,3,343434,9410709,6071645,0.6452,16960,"(14492.0, 17830.0]"
永泰装备有限公司001466,9.132940375353132e+017,1,0,县级,6,4,3,-3434545,22667859,1340890,0.0592,11510,"(11047.0, 14492.0]"
天成化工股份有限公司001467,9.130712652494e+017,0,0,省级,4,1,,6767,49195608,13507753,0.2746,33070,"(31390.0, 35000.0]"
汇通能源股份有限公司001468,9.131657652822619e+017,1,0,省级,1,1,3,565,33429733,14117052,0.4223,18140,"(17830.0, 21190.0]"
中原化工有限公司001469,9.133886550091595e+017,1,0,省级,5,2,6,-3434545,21564089,9967278,0.4622,30370,"(27972.0, 31390.0]"
华泰建设股份有限公司001470,9.1318536087e+017,0,1,,7,2,1,676767,19211059,2464092,0.1283,23770,"(21190.0, 24530.0]"
中原化工股份有限公司001471,9.1337203734e+017,1,1,,6,5,1,343434,865481,633979,0.7325,6510,"(3620.0, 7318.0]"
永泰食品股份有限公司001472,9.13054673931e+017,1,0,市级,5,1,6,5656,19360403,15586946,0.8051,20130,"(17830.0, 21190.0]"
启明食品有限公司001473,9.1325e+017,0,0,省级,5,4,2,5656,23842232,12296291,0.5157,2100,"(49.999, 3620.0]"
远航建设有限公司001474,9.1346159700019007e+017,0,1,县级,2,4,1,676767,22096891,11360288,0.5141,23130,"(21190.0, 24530.0]"
星河生物有限责任公司001475,9.13319e+017,1,1,,6,4,7,676767,15667720,12350129,0.7883,23490,"(21190.0, 24530.0]"
汇通物流有限公司001476,9.1303594094294e+017,0,1,国家级,1,2,5,676767,47728957,9909919,0.2076,26860,"(24530.0, 27972.0]"
中原环保股份有限公司001477,9.138951e+017,0,,省级,7,2,6,565656,31524408,12618274,0.4003,17200,"(14492.0, 17830.0]"
启明医药股份有限公司001478,9.1329397e+017,0,1,省级,5,4,6,565656,1532585,804979,0.5252,8010,"(7318.0, 11047.0]"
华信材料股份有限公司001479,9.136057767719e+017,0,0,,1,3,5,6767,15082923,11951902,0.7924,9160,"(7318.0, 11047.0]"
博雅能源有限公司001480,9.1360677e+017,1,0,县级,5,4,4,6767,33888067,20733437,0.6118,14690,"(14492.0, 17830.0]"
中原装备有限责任公司001481,9.135145375257448e+017,0,1,县级,4,7,1,-2323432,19011540,10809369,0.5686,16630,"(14492.0, 17830.0]"
中原装备集团有限公司001482,9.1338515764670506e+017,0,0,省级,,5,1,676767,7630766,2542623,0.3332,4260,"(3620.0, 7318.0]"
远航贸易股份有限公司001483,9.1333892e+017,0,1,市级,3,,7,-3434545,28844476,2782297,0.0965,20900,"(17830.0, 21190.0]"
嘉禾生物有限公司001484,9.13324271618628e+017,1,1,市级,1,7,4,6767,9057475,3733361,0.4122,26180,"(24530.0, 27972.0]"
华泰智能股份有限公司001485,9.131931922941e+017,0,0,国家级,2,1,5,5656,31613236,17521311,0.5542,11480,"(11047.0, 14492.0]"
天成电子有限公司001486,9.139258831400e+017,0,,省级,2,6,7,5656,24294811,7218406,0.2971,20600,"(17830.0, 21190.0]"
嘉禾化工有限责任公司001487,9.13168962132e+017,,1,县级,4,6,,-3434545,38994415,30493311,0.782,18340,"(17830.0, 21190.0]"
嘉禾智能集团有限公司001488,9.1392e+017,1,0,市级,4,6,4,676767,45739621,23851674,0.5215,28110,"(27972.0, 31390.0]"
联创智能股份有限公司001489,9.138033e+017,1,0,市级,4,4,1,565656,26100987,2288856,0.0877,12070,"(11047.0, 14492.0]"
星河能源有限公司001490,9.1316e+017,1,1,省级,3,,7,-3434545,43854837,30111957,0.6866,10450,"(7318.0, 11047.0]"
鼎盛网络集团有限公司001491,9.1351108486106e+017,1,0,县级,7,1,1,565,30548285,18444727,0.6038,13610,"(11047.0, 14492.0]"
华信化工集团有限公司001492,9.13410667e+017,1,1,省级,4,,3,6767,13471550,6870505,0.51,13790,"(11047.0, 14492.0]"
天成电子有限责任公司001493,9.1371e+017,0,0,省级,1,1,6,-3434545,35320868,19956711,0.565,8710,"(7318.0, 11047.0]"
中原纺织有限公司001494,9.13853331e+017,1,1,市级,1,6,3,343434,2142212,1727651,0.8065,30730,"(27972.0, 31390.0]"
金鼎智能有限公司001495,9.132089521e+017,1,0,省级,2,7,6,5656,38955347,8180459,0.21,30920,"(27972.0, 31390.0]"
创元电子有限公司001496,9.1394303e+017,0,0,县级,2,1,,676767,15399012,14446839,0.9382,30220,"(27972.0, 31390.0]"
鼎盛贸易有限责任公司001497,9.1399942e+017,1,0,国家级,5,3,7,565,15667144,7577385,0.4836,27860,"(24530.0, 27972.0]"
盛世建设有限责任公司001498,9.1348e+017,1,1,,,5,2,6767,43643554,4020752,0.0921,24240,"(21190.0, 24530.0]"
宏达物流有限公司001499,9.13174003456e+017,1,1,县级,2,,,565656,19490455,5485394,0.2814,10410,"(7318.0, 11047.0]"
鼎盛环保有限责任公司001500,9.1374120818036893e+017,0,0,,3,5,4,676767,9166442,2266033,0.2472,18170,"(17830.0, 21190.0]"
华泰贸易集团有限公司001501,9.136684803163678e+017,0,0,国家级,5,,,676767,47650092,16474936,0.3457,24940,"(24530.0, 27972.0]"
宏达建设集团有限公司001502,9.1353952608853e+017,0,1,市级,4,3,7,-2323432,15537553,11346752,0.7303,21150,"(17830.0, 21190.0]"
瑞丰装备集团有限公司001503,9.13770499096781e+017,1,1,市级,,5,4,565656,30654476,28522364,0.9304,12520,"(11047.0, 14492.0]"
盛世装备集团有限公司001504,9.1389108041e+017,1,1,市级,2,1,1,-2323432,46215026,12743158,0.2757,31720,"(31390.0, 35000.0]"
华泰材料股份有限公司001505,9.1391658723634e+017,0,1,市级,4,2,6,5656,34073848,15697272,0.4607,32530,"(31390.0, 35000.0]"
汇通生物集团有限公司001506,9.1391278988524991e+017,,,市级,4,1,4,-3434545,46689588,9049922,0.1938,19590,"(17830.0, 21190.0]"
永泰物流有限责任公司001507,9.139670716e+017,1,0,,3,6,6,-2323432,30683732,26365952,0.8593,8830,"(7318.0, 11047.0]"
华信环保股份有限公司001508,9.13079729e+017,1,0,市级,6,1,3,565,16101552,12024685,0.7468,6150,"(3620.0, 7318.0]"
创元贸易有限公司001509,9.1397366547587837e+017,0,1,省级,2,2,3,-2323432,32676211,18565018,0.5682,29180,"(27972.0, 31390.0]"
华信装备有限责任公司001510,9.1304025e+017,1,,国家级,7,7,1,343434,48063734,19762457,0.4112,8030,"(7318.0, 11047.0]"
创元纺织股份有限公司001511,9.13763e+017,,1,县级,4,7,,-2323432,140116,62216,0.444,31850,"(31390.0, 35000.0]"
创元智能股份有限公司001512,9.1325e+017,1,0,省级,6,5,1,-3434545,27426883,12771862,0.4657,29510,"(27972.0, 31390.0]"
鼎盛纺织集团有限公司001513,9.13036906155026e+017,0,0,县级,5,4,,6767,3735887,2964594,0.7935,17190,"(14492.0, 17830.0]"
盛世机械有限公司001514,9.133242169e+017,1,0,县级,2,,7,565656,29564320,13064005,0.4419,15770,"(14492.0, 17830.0]"
华泰能源集团有限公司001515,9.13367e+017,1,1,省级,5,3,1,-3434545,2248974,2042550,0.9082,21320,"(21190.0, 24530.0]"
博雅贸易有限公司001516,9.136874412359e+017,1,1,省级,,1,3,676767,663632,250689,0.3778,20430,"(17830.0, 21190.0]"
联创纺织有限责任公司001517,9.13937e+017,1,,省级,3,1,2,676767,4321725,1640457,0.3796,14210,"(11047.0, 14492.0]"
联创食品集团有限公司001518,9.13346e+017,0,,省级,3,3,3,5656,44998374,4928384,0.1095,860,"(49.999, 3620.0]"
华泰环保有限公司001519,9.1314e+017,0,,,7,2,2,565,17663059,15237088,0.8627,32440,"(31390.0, 35000.0]"
华信网络股份有限公司001520,9.131793008058e+017,0,0,,2,7,5,676767,48915461,38489925,0.7869,26580,"(24530.0, 27972.0]"
星河科技股份有限公司001521,9.133586990213116e+017,1,,省级,3,1,1,343434,7636723,5157768,0.6754,30400,"(27972.0, 31390.0]"
华信网络有限责任公司001522,9.1383620749884e+017,1,0,,2,3,4,676767,17432794,3133858,0.1798,31820,"(31390.0, 35000.0]"
华信食品股份有限公司001523,9.137813049e+017,1,1,县级,1,3,3,343434,23853286,11828668,0.4959,28180,"(27972.0, 31390.0]"
永泰网络集团有限公司001524,9.1307248e+017,1,0,,4,1,2,676767,37918461,31842292,0.8398,28980,"(27972.0, 31390.0]"
华信信息有限公司001525,9.135839340835442e+017,1,1,国家级,6,3,7,-2323432,21614758,11665035,0.5397,10340,"(7318.0, 11047.0]"
创元纺织股份有限公司001526,9.132236831275341e+017,0,1,县级,4,3,2,-2323432,40224537,17027374,0.4233,27250,"(24530.0, 27972.0]"
华泰装备有限公司001527,9.13062945026944e+017,1,1,,2,7,7,565,1291042,166721,0.1291,21100,"(17830.0, 21190.0]"
启明食品股份有限公司001528,9.13906674772e+017,0,,国家级,6,,2,676767,49489171,33662507,0.6802,9810,"(7318.0, 11047.0]"
华泰装备股份有限公司001529,9.1395334225393922e+017,1,1,省级,5,6,5,565,5799745,3643225,0.6282,780,"(49.999, 3620.0]"
博雅材料有限公司001530,9.13846036e+017,0,1,县级,3,,1,565,35368409,29693111,0.8395,21390,"(21190.0, 24530.0]"
嘉禾能源有限责任公司001531,9.13894770693928e+017,1,0,市级,2,1,7,343434,22328175,19206561,0.8602,18970,"(17830.0, 21190.0]"
华泰纺织有限公司001532,9.139863613959e+017,1,1,省级,7,6,4,343434,27715927,19997523,0.7215,11920,"(11047.0, 14492.0]"
星河材料有限责任公司001533,9.13377962638e+017,1,1,县级,1,3,2,343434,22392791,20491863,0.9151,25950,"(24530.0, 27972.0]"
华信建设有限公司001534,9.13428e+017,1,0,,6,6,7,565656,1464006,131165,0.0896,5580,"(3620.0, 7318.0]"
鼎盛纺织有限公司001535,9.13080045872422e+017,1,1,县级,3,1,5,6767,2968541,1658096,0.5586,31220,"(27972.0, 31390.0]"
华泰网络有限责任公司001536,9.13234e+017,0,0,县级,5,5,1,565656,7815306,3602655,0.461,14190,"(11047.0, 14492.0]"
盛世生物股份有限公司001537,9.130310497e+017,0,1,国家级,6,4,6,6767,26138419,20106965,0.7692,5370,"(3620.0, 7318.0]"
瑞丰化工股份有限公司001538,9.136974721712435e+017,1,0,国家级,7,7,6,-3434545,2464272,1190815,0.4832,24470,"(21190.0, 24530.0]"
鼎盛装备集团有限公司001539,9.130781072e+017,0,1,县级,7,7,3,5656,21972439,11619399,0.5288,14890,"(14492.0, 17830.0]"
永泰化工集团有限公司001540,9.13962e+017,1,1,国家级,6,1,,343434,46919791,29330025,0.6251,25010,"(24530.0, 27972.0]"
永泰化工集团有限公司001541,9.131051640787048e+017,,1,省级,6,3,4,565656,4238220,2698691,0.6368,720,"(49.999, 3620.0]"
博雅科技股份有限公司001542,9.13770554899e+017,0,0,县级,6,6,5,343434,32495507,28587019,0.8797,6600,"(3620.0, 7318.0]"
