企业名称,统代,科技标签_高新技术产业,是否国企,龙头企业级别,2022从业人数,2023从业人数,2024从业人数,2022利润总额,实际授信额度,实际授信额度区间
永泰科技集团有限公司001064,9.131483747558e+017,0,0,县级,3,3,5,-3434545,28190,"(27972.0, 31471.0]"
星河材料有限公司001065,9.137169e+017,0,0,国家级,4,1,7,5656,10790,"(7370.0, 10954.0]"
联创化工股份有限公司001066,9.139833261e+017,1,1,市级,4,5,,676767,23440,"(21364.0, 24660.0]"
盛世纺织集团有限公司001067,9.135353399824e+017,0,,县级,3,3,1,-2323432,17330,"(14480.0, 17855.0]"
永泰建设集团有限公司001068,9.1328e+017,1,1,县级,1,5,4,676767,19910,"(17855.0, 21364.0]"
盛世网络有限责任公司001069,9.13613087e+017,0,0,,3,6,6,-2323432,6790,"(3780.0, 7370.0]"
联创装备股份有限公司001070,9.13118425278e+017,1,,,6,7,7,-2323432,6880,"(3780.0, 7370.0]"
联创医药有限公司001071,9.137771961e+017,1,1,县级,,7,2,5656,11930,"(10954.0, 14480.0]"
鼎盛信息集团有限公司001072,9.1344009e+017,1,1,县级,4,4,5,-3434545,27950,"(24660.0, 27972.0]"
汇通材料有限责任公司001073,9.1390705e+017,1,0,国家级,2,5,6,343434,34360,"(31471.0, 35000.0]"
鼎盛网络股份有限公司001074,9.1308e+017,0,1,省级,1,,,565656,2880,"(49.999, 3780.0]"
远航信息集团有限公司001075,9.137192149e+017,1,0,县级,3,7,7,5656,13100,"(10954.0, 14480.0]"
永泰材料股份有限公司001076,9.132665282468549e+017,0,1,,6,3,2,-2323432,980,"(49.999, 3780.0]"
星河材料有限责任公司001077,9.13605190854327e+017,0,0,省级,6,6,1,-3434545,27250,"(24660.0, 27972.0]"
金鼎材料有限公司001078,9.1309e+017,0,,县级,4,2,6,-2323432,8270,"(7370.0, 10954.0]"
宏达科技有限责任公司001079,9.13589e+017,0,0,,7,7,1,565,26410,"(24660.0, 27972.0]"
鼎盛智能有限公司001080,9.131226815947e+017,1,0,,6,4,1,343434,17150,"(14480.0, 17855.0]"
宏达建设股份有限公司001081,9.13397984218e+017,0,0,省级,1,6,2,5656,30420,"(27972.0, 31471.0]"
联创食品股份有限公司001082,9.131877628836368e+017,,1,省级,6,,,5656,33320,"(31471.0, 35000.0]"
启明建设集团有限公司001083,9.13616522898e+017,0,0,,2,2,4,-3434545,34070,"(31471.0, 35000.0]"
联创化工有限责任公司001084,9.1383e+017,1,0,国家级,5,4,3,565,34290,"(31471.0, 35000.0]"
嘉禾医药有限公司001085,9.139565e+017,0,,国家级,1,1,7,565,19820,"(17855.0, 21364.0]"
博雅电子有限责任公司001086,9.1328787570302e+017,,0,省级,5,1,3,-2323432,220,"(49.999, 3780.0]"
金鼎化工有限责任公司001087,9.132233e+017,1,0,国家级,1,4,1,-2323432,7050,"(3780.0, 7370.0]"
瑞丰智能股份有限公司001088,9.13624975374057e+017,0,1,市级,1,4,1,565656,33320,"(31471.0, 35000.0]"
远航电子有限责任公司001089,9.1345146e+017,1,1,省级,,4,4,565,14870,"(14480.0, 17855.0]"
嘉禾食品集团有限公司001090,9.1373664853e+017,,1,,5,3,7,565,14510,"(14480.0, 17855.0]"
瑞丰机械集团有限公司001091,9.136958050450509e+017,0,1,,2,6,7,676767,8990,"(7370.0, 10954.0]"
华泰纺织集团有限公司001092,9.137295450380162e+017,1,1,国家级,3,7,2,-2323432,28590,"(27972.0, 31471.0]"
盛世能源有限公司001093,9.137943e+017,0,1,,3,1,,676767,8640,"(7370.0, 10954.0]"
博雅纺织有限责任公司001094,9.138662e+017,1,0,县级,6,1,7,676767,14710,"(14480.0, 17855.0]"
中原环保有限公司001095,9.1335117455537e+017,0,1,省级,5,3,3,343434,10680,"(7370.0, 10954.0]"
创元材料有限责任公司001096,9.13562641260e+017,1,1,国家级,4,2,,-2323432,34590,"(31471.0, 35000.0]"
宏达科技有限公司001097,9.1370450599e+017,0,0,县级,4,1,4,343434,32410,"(31471.0, 35000.0]"
嘉禾信息有限公司001098,9.13851420e+017,0,0,,2,2,2,6767,21800,"(21364.0, 24660.0]"
天成贸易股份有限公司001099,9.1372991154e+017,0,1,国家级,5,6,2,676767,19350,"(17855.0, 21364.0]"
汇通环保集团有限公司001100,9.13977115062917e+017,0,1,县级,6,4,3,6767,32630,"(31471.0, 35000.0]"
启明装备集团有限公司001101,9.1322198369157e+017,0,1,国家级,,,,-3434545,2240,"(49.999, 3780.0]"
天成材料有限责任公司001102,9.1304450e+017,0,,县级,2,6,1,676767,12010,"(10954.0, 14480.0]"
天成环保集团有限公司001103,9.1358676030409e+017,0,1,市级,5,,2,6767,12730,"(10954.0, 14480.0]"
嘉禾网络股份有限公司001104,9.131051e+017,0,,市级,2,5,,-2323432,10020,"(7370.0, 10954.0]"
星河生物集团有限公司001105,9.13168163603891e+017,1,1,县级,1,6,3,565,7160,"(3780.0, 7370.0]"
汇通电子有限公司001106,9.1307071634850895e+017,0,,,6,4,,343434,5350,"(3780.0, 7370.0]"
瑞丰贸易股份有限公司001107,9.1372965561927e+017,1,0,国家级,7,1,7,5656,14860,"(14480.0, 17855.0]"
鼎盛化工股份有限公司001108,9.133055737138e+017,1,0,省级,,4,3,565,5550,"(3780.0, 7370.0]"
博雅装备股份有限公司001109,9.1330411e+017,1,0,省级,6,1,7,343434,15660,"(14480.0, 17855.0]"
中原医药股份有限公司001110,9.13704656e+017,1,1,省级,3,5,5,676767,21830,"(21364.0, 24660.0]"
宏达化工集团有限公司001111,9.131592291270659e+017,0,0,国家级,,5,6,6767,26290,"(24660.0, 27972.0]"
联创物流集团有限公司001112,9.1318e+017,0,1,县级,,5,2,565656,11550,"(10954.0, 14480.0]"
联创机械股份有限公司001113,9.1390522171148e+017,1,1,国家级,5,7,5,343434,34150,"(31471.0, 35000.0]"
盛世食品集团有限公司001114,9.13631e+017,0,1,县级,1,4,7,5656,28990,"(27972.0, 31471.0]"
启明材料有限公司001115,9.1338999068201e+017,0,0,县级,1,3,2,-3434545,23010,"(21364.0, 24660.0]"
永泰食品有限公司001116,9.1331798549004903e+017,1,1,市级,2,6,4,-3434545,28350,"(27972.0, 31471.0]"
嘉禾物流集团有限公司001117,9.13439225517e+017,,0,国家级,5,6,7,565,27900,"(24660.0, 27972.0]"
永泰化工有限公司001118,9.13863e+017,1,0,市级,7,4,1,343434,7510,"(7370.0, 10954.0]"
联创化工有限责任公司001119,9.1390964598724089e+017,0,1,省级,3,,,343434,31660,"(31471.0, 35000.0]"
联创医药股份有限公司001120,9.13072173402e+017,1,0,,4,,2,676767,25510,"(24660.0, 27972.0]"
中原科技有限责任公司001121,9.1318e+017,0,1,省级,7,4,2,565,9660,"(7370.0, 10954.0]"
天成建设有限责任公司001122,9.13651186156e+017,,1,县级,2,,6,343434,33160,"(31471.0, 35000.0]"
盛世材料有限公司001123,9.132611035659e+017,1,,省级,2,3,,5656,34400,"(31471.0, 35000.0]"
博雅贸易集团有限公司001124,9.1386194e+017,0,0,国家级,6,5,4,676767,31800,"(31471.0, 35000.0]"
金鼎化工股份有限公司001125,9.13283463348893e+017,0,1,县级,7,2,6,565,12090,"(10954.0, 14480.0]"
远航能源集团有限公司001126,9.1392855074e+017,0,0,市级,,4,3,-3434545,7240,"(3780.0, 7370.0]"
中原食品有限责任公司001127,9.133591765e+017,0,0,,5,4,,-3434545,23360,"(21364.0, 24660.0]"
鼎盛化工股份有限公司001128,9.1379899470e+017,1,1,国家级,,5,2,5656,11710,"(10954.0, 14480.0]"
金鼎医药有限责任公司001129,9.1371567566505188e+017,1,0,市级,,7,4,6767,3350,"(49.999, 3780.0]"
中原信息有限责任公司001130,9.1345e+017,0,1,省级,2,2,3,565,26250,"(24660.0, 27972.0]"
嘉禾食品有限公司001131,9.13892571402e+017,,0,县级,,6,3,6767,32620,"(31471.0, 35000.0]"
宏达信息有限责任公司001132,9.1336806358530e+017,,0,省级,7,7,,5656,16890,"(14480.0, 17855.0]"
启明贸易集团有限公司001133,9.137758670365620e+017,0,0,市级,5,7,,565,12090,"(10954.0, 14480.0]"
华信生物有限公司001134,9.13233576170731e+017,1,1,县级,4,5,6,5656,9570,"(7370.0, 10954.0]"
嘉禾装备股份有限公司001135,9.13759443e+017,1,1,市级,2,4,3,565656,20910,"(17855.0, 21364.0]"
宏达装备股份有限公司001136,9.13687404207e+017,1,0,县级,6,3,,565,30900,"(27972.0, 31471.0]"
星河环保有限公司001137,9.13094065658234e+017,1,1,县级,,7,2,-3434545,8560,"(7370.0, 10954.0]"
金鼎环保有限责任公司001138,9.13091103495e+017,,1,,2,7,4,343434,1350,"(49.999, 3780.0]"
鼎盛食品有限公司001139,9.13477618e+017,1,0,县级,6,5,4,5656,11380,"(10954.0, 14480.0]"
金鼎贸易集团有限公司001140,9.136599508e+017,0,0,,4,7,4,6767,6080,"(3780.0, 7370.0]"
瑞丰装备集团有限公司001141,9.1386221405131e+017,1,1,县级,5,4,3,676767,12970,"(10954.0, 14480.0]"
博雅电子股份有限公司001142,9.13420359e+017,1,0,省级,5,1,6,676767,13950,"(10954.0, 14480.0]"
中原食品有限责任公司001143,9.13741313518e+017,,1,省级,7,6,3,5656,22050,"(21364.0, 24660.0]"
嘉禾贸易集团有限公司001144,9.131789559909841e+017,0,1,国家级,7,,2,-3434545,21640,"(21364.0, 24660.0]"
远航生物有限公司001145,9.130038146342e+017,0,0,市级,7,2,,676767,9070,"(7370.0, 10954.0]"
盛世网络股份有限公司001146,9.1341146e+017,0,0,市级,7,7,1,-2323432,21140,"(17855.0, 21364.0]"
华泰纺织有限公司001147,9.13109659845576e+017,1,1,,1,1,7,6767,470,"(49.999, 3780.0]"
瑞丰科技集团有限公司001148,9.1364e+017,0,,国家级,5,2,5,5656,24540,"(21364.0, 24660.0]"
启明网络集团有限公司001149,9.13421682682217e+017,1,1,县级,6,,1,5656,34460,"(31471.0, 35000.0]"
汇通建设有限公司001150,9.139325722e+017,,0,,,2,4,565656,29060,"(27972.0, 31471.0]"
永泰生物股份有限公司001151,9.13295e+017,0,0,国家级,7,3,,-2323432,33020,"(31471.0, 35000.0]"
星河机械有限公司001152,9.132406e+017,1,1,县级,6,6,,-3434545,15610,"(14480.0, 17855.0]"
启明科技股份有限公司001153,9.1343016556e+017,0,1,县级,1,1,1,5656,29890,"(27972.0, 31471.0]"
星河食品集团有限公司001154,9.139011e+017,0,0,县级,3,5,,565,15990,"(14480.0, 17855.0]"
金鼎医药有限责任公司001155,9.13489e+017,1,0,市级,6,1,,343434,20890,"(17855.0, 21364.0]"
创元生物集团有限公司001156,9.1351673095326e+017,,1,县级,3,5,3,5656,18090,"(17855.0, 21364.0]"
天成生物集团有限公司001157,9.138280e+017,0,0,,7,4,2,-3434545,6880,"(3780.0, 7370.0]"
联创信息有限公司001158,9.1364583744959e+017,1,0,,4,3,7,565656,16820,"(14480.0, 17855.0]"
启明装备有限责任公司001159,9.137411486267e+017,1,0,县级,3,6,3,-3434545,6540,"(3780.0, 7370.0]"
中原机械有限公司001160,9.1367896300935e+017,,0,省级,2,4,,343434,14720,"(14480.0, 17855.0]"
创元网络有限责任公司001161,9.1383492766809846e+017,0,0,省级,7,5,6,565,11550,"(10954.0, 14480.0]"
宏达贸易股份有限公司001162,9.1371554460e+017,1,0,国家级,,7,7,5656,30670,"(27972.0, 31471.0]"
联创网络有限公司001163,9.13536499119285e+017,1,0,市级,4,6,4,6767,5690,"(3780.0, 7370.0]"
永泰生物集团有限公司001164,9.1377e+017,1,,省级,1,3,6,5656,32180,"(31471.0, 35000.0]"
远航化工有限公司001165,9.13890751991e+017,0,1,省级,3,5,4,565,10980,"(10954.0, 14480.0]"
华信食品有限责任公司001166,9.1382838597477e+017,1,1,国家级,,3,2,-3434545,27580,"(24660.0, 27972.0]"
远航能源股份有限公司001167,9.137715692209e+017,1,0,省级,3,5,7,343434,26200,"(24660.0, 27972.0]"
星河物流有限公司001168,9.134773494e+017,0,1,,3,5,1,-3434545,27240,"(24660.0, 27972.0]"
瑞丰装备有限责任公司001169,9.13685e+017,1,1,省级,3,5,,-3434545,14080,"(10954.0, 14480.0]"
天成装备有限责任公司001170,9.13581660284e+017,0,1,省级,3,7,6,565,34320,"(31471.0, 35000.0]"
华泰物流有限责任公司001171,9.137973418559508e+017,0,1,,,1,3,565656,24330,"(21364.0, 24660.0]"
金鼎环保有限公司001172,9.13067949078e+017,1,0,市级,1,7,,343434,14300,"(10954.0, 14480.0]"
宏达生物股份有限公司001173,9.13635367355e+017,,0,省级,4,,7,676767,33240,"(31471.0, 35000.0]"
永泰建设有限公司001174,9.13309742e+017,1,0,省级,3,2,3,5656,30900,"(27972.0, 31471.0]"
永泰建设有限公司001175,9.13356582608e+017,0,1,县级,4,1,3,565656,960,"(49.999, 3780.0]"
启明化工股份有限公司001176,9.1311223214252e+017,,0,省级,7,3,,565,20790,"(17855.0, 21364.0]"
鼎盛贸易集团有限公司001177,9.135544e+017,0,0,,4,7,3,5656,11220,"(10954.0, 14480.0]"
嘉禾物流集团有限公司001178,9.13684184714e+017,1,,国家级,4,1,,676767,22680,"(21364.0, 24660.0]"
博雅生物集团有限公司001179,9.1303087647e+017,,0,县级,2,3,,676767,18190,"(17855.0, 21364.0]"
联创材料股份有限公司001180,9.131720e+017,1,1,,7,2,,5656,17290,"(14480.0, 17855.0]"
远航科技股份有限公司001181,9.13967419e+017,0,1,省级,7,1,7,-2323432,15900,"(14480.0, 17855.0]"
联创建设集团有限公司001182,9.13251970e+017,0,1,国家级,4,3,,6767,23170,"(21364.0, 24660.0]"
宏达材料集团有限公司001183,9.13625260221690e+017,1,1,省级,5,1,,676767,13650,"(10954.0, 14480.0]"
永泰材料有限公司001184,9.1357351745e+017,1,0,,2,3,7,6767,12250,"(10954.0, 14480.0]"
宏达医药有限公司001185,9.1355897990359e+017,,,县级,,1,,676767,22290,"(21364.0, 24660.0]"
汇通网络有限责任公司001186,9.136051648389533e+017,1,1,县级,1,5,1,5656,12470,"(10954.0, 14480.0]"
宏达机械有限责任公司001187,9.13973173033249e+017,1,1,县级,4,6,,565,11510,"(10954.0, 14480.0]"
星河机械股份有限公司001188,9.133181560542707e+017,1,1,县级,7,,5,343434,21890,"(21364.0, 24660.0]"
远航贸易股份有限公司001189,9.137289722e+017,1,0,市级,,5,3,-2323432,14870,"(14480.0, 17855.0]"
启明贸易股份有限公司001190,9.1366e+017,0,,省级,7,1,3,565656,15620,"(14480.0, 17855.0]"
天成纺织有限公司001191,9.1339962637792711e+017,0,0,,1,7,4,5656,18030,"(17855.0, 21364.0]"
博雅机械集团有限公司001192,9.133330e+017,0,0,,2,,5,5656,26800,"(24660.0, 27972.0]"
宏达建设股份有限公司001193,9.1352357865294e+017,0,1,,7,1,4,5656,10640,"(7370.0, 10954.0]"
嘉禾装备有限责任公司001194,9.1311980e+017,1,1,省级,7,3,7,-2323432,11810,"(10954.0, 14480.0]"
盛世建设股份有限公司001195,9.136887860203e+017,0,0,,3,4,3,343434,15000,"(14480.0, 17855.0]"
创元生物股份有限公司001196,9.1387287314249e+017,1,0,国家级,5,3,4,5656,24290,"(21364.0, 24660.0]"
嘉禾信息有限公司001197,9.13005102874e+017,1,0,省级,3,,2,-2323432,22240,"(21364.0, 24660.0]"
鼎盛电子股份有限公司001198,9.1321046627501e+017,1,1,省级,1,4,3,676767,2780,"(49.999, 3780.0]"
嘉禾医药集团有限公司001199,9.1395e+017,1,0,省级,7,1,7,-2323432,30150,"(27972.0, 31471.0]"
创元能源集团有限公司001200,9.1371485819e+017,,,国家级,,1,3,565656,24390,"(21364.0, 24660.0]"
汇通网络有限公司001201,9.13828e+017,1,0,县级,5,4,1,565,14400,"(10954.0, 14480.0]"
华信科技有限责任公司001202,9.131163971e+017,1,0,县级,5,2,5,565656,6660,"(3780.0, 7370.0]"
嘉禾纺织集团有限公司001203,9.1362625918831e+017,0,1,省级,3,1,3,5656,12290,"(10954.0, 14480.0]"
远航医药有限责任公司001204,9.13978729e+017,1,0,县级,6,4,7,565,7880,"(7370.0, 10954.0]"
星河能源有限责任公司001205,9.130424796000e+017,,0,市级,2,7,1,565656,25170,"(24660.0, 27972.0]"
创元网络有限责任公司001206,9.13920369e+017,,0,市级,,2,6,-2323432,28470,"(27972.0, 31471.0]"
华泰智能集团有限公司001207,9.1341475690e+017,0,1,省级,1,2,1,-3434545,4700,"(3780.0, 7370.0]"
嘉禾能源有限责任公司001208,9.1366771539022e+017,1,0,县级,5,6,7,676767,6510,"(3780.0, 7370.0]"
星河环保股份有限公司001209,9.13761442e+017,1,0,市级,4,1,2,-2323432,700,"(49.999, 3780.0]"
创元环保股份有限公司001210,9.13549393439e+017,1,1,省级,6,2,1,6767,20230,"(17855.0, 21364.0]"
盛世纺织集团有限公司001211,9.1381330e+017,1,1,,7,3,4,676767,9160,"(7370.0, 10954.0]"
金鼎生物有限责任公司001212,9.1372033e+017,,0,省级,4,7,3,6767,10430,"(7370.0, 10954.0]"
盛世生物股份有限公司001213,9.1394e+017,0,0,市级,,1,1,5656,14650,"(14480.0, 17855.0]"
创元科技集团有限公司001214,9.130781913505e+017,0,1,市级,,5,3,343434,3630,"(49.999, 3780.0]"
盛世贸易股份有限公司001215,9.13663e+017,0,0,县级,5,,6,5656,31030,"(27972.0, 31471.0]"
天成食品集团有限公司001216,9.132007615e+017,0,0,县级,1,2,1,-3434545,22020,"(21364.0, 24660.0]"
永泰食品有限公司001217,9.130901014610e+017,0,1,国家级,6,5,1,676767,28140,"(27972.0, 31471.0]"
启明物流股份有限公司001218,9.137851856905e+017,0,1,县级,1,4,4,6767,22770,"(21364.0, 24660.0]"
联创智能有限公司001219,9.138147237356407e+017,0,0,,4,,4,5656,29310,"(27972.0, 31471.0]"
天成物流有限责任公司001220,9.134983671e+017,1,1,县级,5,5,5,5656,23380,"(21364.0, 24660.0]"
汇通食品有限责任公司001221,9.136059563e+017,1,0,县级,4,7,7,6767,4180,"(3780.0, 7370.0]"
盛世医药集团有限公司001222,9.1377730316787192e+017,1,1,,1,2,7,343434,17600,"(14480.0, 17855.0]"
盛世科技有限公司001223,9.13054908099839e+017,1,1,,2,,3,5656,11930,"(10954.0, 14480.0]"
启明能源有限公司001224,9.1309e+017,0,1,市级,1,1,7,676767,10230,"(7370.0, 10954.0]"
中原科技有限责任公司001225,9.1362897351e+017,1,1,市级,1,6,4,-2323432,23240,"(21364.0, 24660.0]"
星河贸易股份有限公司001226,9.137712515890418e+017,0,0,县级,1,,2,-2323432,11800,"(10954.0, 14480.0]"
启明生物有限责任公司001227,9.1347909863615276e+017,1,1,,6,1,2,6767,20030,"(17855.0, 21364.0]"
鼎盛医药有限公司001228,9.1373714e+017,,0,国家级,7,6,3,-2323432,34300,"(31471.0, 35000.0]"
华信能源股份有限公司001229,9.1361e+017,0,0,国家级,6,6,5,6767,10840,"(7370.0, 10954.0]"
联创食品集团有限公司001230,9.13103414e+017,0,0,国家级,6,4,6,343434,12490,"(10954.0, 14480.0]"
盛世物流股份有限公司001231,9.1304470856094e+017,0,1,市级,,3,6,565656,6460,"(3780.0, 7370.0]"
鼎盛电子有限责任公司001232,9.13227579407e+017,,0,县级,5,1,3,565656,14530,"(14480.0, 17855.0]"
远航材料集团有限公司001233,9.13641060326753e+017,0,0,县级,1,2,1,-2323432,16150,"(14480.0, 17855.0]"
华信智能有限责任公司001234,9.1360640e+017,0,1,县级,,5,6,565,16720,"(14480.0, 17855.0]"
启明电子有限公司001235,9.13036100770e+017,0,0,市级,5,6,7,565,11170,"(10954.0, 14480.0]"
华信材料股份有限公司001236,9.13960e+017,0,0,国家级,5,2,1,565,4270,"(3780.0, 7370.0]"
瑞丰能源集团有限公司001237,9.1384965e+017,1,0,国家级,1,7,7,-2323432,18380,"(17855.0, 21364.0]"
星河机械集团有限公司001238,9.1365361977e+017,0,1,市级,7,2,1,6767,31060,"(27972.0, 31471.0]"
嘉禾贸易股份有限公司001239,9.133927687e+017,0,0,省级,3,6,2,676767,33300,"(31471.0, 35000.0]"
中原建设有限责任公司001240,9.138173579e+017,0,0,,,7,5,676767,1410,"(49.999, 3780.0]"
华泰建设有限公司001241,9.13557039e+017,0,0,国家级,3,4,2,5656,21960,"(21364.0, 24660.0]"
星河科技有限公司001242,9.1326000110156e+017,0,1,市级,4,5,3,343434,24800,"(24660.0, 27972.0]"
启明网络集团有限公司001243,9.134699086723e+017,,1,国家级,2,7,1,565656,22820,"(21364.0, 24660.0]"
中原材料集团有限公司001244,9.131882e+017,,0,县级,6,4,3,343434,29730,"(27972.0, 31471.0]"
创元医药股份有限公司001245,9.13169368e+017,0,0,县级,4,6,6,-2323432,1240,"(49.999, 3780.0]"
宏达智能有限责任公司001246,9.138267e+017,0,0,市级,7,2,,-3434545,23460,"(21364.0, 24660.0]"
瑞丰机械有限责任公司001247,9.1336868111433064e+017,0,0,县级,7,2,5,-3434545,10580,"(7370.0, 10954.0]"
鼎盛智能股份有限公司001248,9.137902591204e+017,1,1,县级,3,5,7,5656,31620,"(31471.0, 35000.0]"
嘉禾建设集团有限公司001249,9.1355999773793e+017,1,1,国家级,4,,3,6767,3010,"(49.999, 3780.0]"
永泰化工股份有限公司001250,9.1338e+017,1,1,县级,3,3,,343434,27710,"(24660.0, 27972.0]"
金鼎建设有限公司001251,9.136308292e+017,1,0,省级,1,5,7,6767,8560,"(7370.0, 10954.0]"
博雅纺织集团有限公司001252,9.136548522072019e+017,1,1,县级,,4,5,343434,3450,"(49.999, 3780.0]"
鼎盛科技有限公司001253,9.139555e+017,0,,市级,4,2,6,-2323432,8620,"(7370.0, 10954.0]"
创元食品集团有限公司001254,9.1300360e+017,1,0,省级,,3,7,676767,5320,"(3780.0, 7370.0]"
瑞丰医药股份有限公司001255,9.133916928e+017,0,0,县级,1,2,,5656,33600,"(31471.0, 35000.0]"
远航建设集团有限公司001256,9.1304544e+017,0,,县级,7,4,7,565656,29820,"(27972.0, 31471.0]"
金鼎物流有限责任公司001257,9.131764296280924e+017,0,0,国家级,,5,7,5656,22670,"(21364.0, 24660.0]"
华信科技集团有限公司001258,9.135523228058837e+017,1,0,市级,5,6,6,565,8040,"(7370.0, 10954.0]"
天成环保有限公司001259,9.13152e+017,1,1,县级,4,2,6,6767,8170,"(7370.0, 10954.0]"
宏达建设有限责任公司001260,9.138809718e+017,,1,省级,,1,3,676767,810,"(49.999, 3780.0]"
天成智能有限公司001261,9.135967577e+017,0,0,,3,3,7,565,29980,"(27972.0, 31471.0]"
华信材料股份有限公司001262,9.1389e+017,1,1,国家级,7,4,4,343434,13360,"(10954.0, 14480.0]"
启明化工有限公司001263,9.1383e+017,1,0,,3,2,7,565656,15570,"(14480.0, 17855.0]"
联创网络股份有限公司001264,9.13560e+017,0,1,市级,3,1,6,6767,34330,"(31471.0, 35000.0]"
鼎盛信息有限公司001265,9.134397630900e+017,1,1,市级,5,6,5,-3434545,21020,"(17855.0, 21364.0]"
华信环保股份有限公司001266,9.1392626543e+017,1,1,国家级,4,6,7,-2323432,11400,"(10954.0, 14480.0]"
启明科技有限公司001267,9.13996585783e+017,1,0,市级,7,2,6,676767,8620,"(7370.0, 10954.0]"
华信纺织股份有限公司001268,9.1313500788e+017,0,0,省级,3,4,6,-3434545,18180,"(17855.0, 21364.0]"
嘉禾科技有限公司001269,9.132312653273551e+017,1,0,国家级,,2,5,6767,5370,"(3780.0, 7370.0]"
星河能源有限责任公司001270,9.135570200e+017,1,,县级,2,,4,565,13550,"(10954.0, 14480.0]"
博雅物流集团有限公司001271,9.13912706507612e+017,0,0,国家级,7,3,7,565,31420,"(27972.0, 31471.0]"
天成贸易有限责任公司001272,9.1359502635607778e+017,1,0,省级,3,6,,676767,10560,"(7370.0, 10954.0]"
启明智能集团有限公司001273,9.1396269022e+017,,1,市级,5,1,7,5656,1240,"(49.999, 3780.0]"
金鼎材料有限责任公司001274,9.13120039344907e+017,1,0,县级,1,,6,343434,18980,"(17855.0, 21364.0]"
汇通智能股份有限公司001275,9.1392105307122600e+017,0,0,县级,5,6,6,6767,24140,"(21364.0, 24660.0]"
嘉禾生物股份有限公司001276,9.1328206322801269e+017,0,1,县级,4,3,5,-3434545,30160,"(27972.0, 31471.0]"
金鼎食品有限责任公司001277,9.13245257378e+017,1,1,,2,3,1,-2323432,17120,"(14480.0, 17855.0]"
星河食品有限公司001278,9.139889e+017,1,0,省级,7,5,3,-2323432,18810,"(17855.0, 21364.0]"
汇通化工有限责任公司001279,9.13700e+017,1,,,7,5,2,5656,28190,"(27972.0, 31471.0]"
鼎盛化工有限责任公司001280,9.13951279831e+017,0,1,市级,6,5,7,-3434545,28310,"(27972.0, 31471.0]"
汇通生物有限责任公司001281,9.130870170867e+017,0,0,国家级,6,1,,-2323432,23670,"(21364.0, 24660.0]"
天成纺织股份有限公司001282,9.13246105110e+017,,,国家级,4,1,2,-3434545,22490,"(21364.0, 24660.0]"
联创智能集团有限公司001283,9.139201029759974e+017,1,1,县级,1,1,2,565656,11880,"(10954.0, 14480.0]"
瑞丰智能有限公司001284,9.13164153e+017,1,,省级,6,7,3,676767,27210,"(24660.0, 27972.0]"
华泰化工有限公司001285,9.136085571749058e+017,1,1,国家级,7,4,4,-2323432,31640,"(31471.0, 35000.0]"
星河贸易股份有限公司001286,9.13450999e+017,1,1,省级,,7,5,565656,11650,"(10954.0, 14480.0]"
启明贸易有限公司001287,9.134668985932e+017,0,1,,6,1,1,565656,2370,"(49.999, 3780.0]"
星河网络集团有限公司001288,9.13642597205548e+017,0,1,国家级,6,6,7,6767,31150,"(27972.0, 31471.0]"
嘉禾电子股份有限公司001289,9.13604293e+017,1,1,市级,1,7,6,6767,29900,"(27972.0, 31471.0]"
瑞丰贸易集团有限公司001290,9.1326769889798e+017,1,1,市级,1,1,4,565656,1990,"(49.999, 3780.0]"
创元医药股份有限公司001291,9.1359e+017,1,1,国家级,7,1,,676767,25050,"(24660.0, 27972.0]"
瑞丰信息有限责任公司001292,9.1347936561156862e+017,0,0,国家级,3,2,,565656,34460,"(31471.0, 35000.0]"
宏达物流股份有限公司001293,9.1322e+017,1,1,国家级,1,3,,565656,12990,"(10954.0, 14480.0]"
博雅机械有限责任公司001294,9.13563112138e+017,0,0,县级,6,6,,-2323432,17000,"(14480.0, 17855.0]"
盛世信息股份有限公司001295,9.1335654180e+017,0,0,国家级,4,3,3,5656,20960,"(17855.0, 21364.0]"
启明机械集团有限公司001296,9.138284705203e+017,0,0,,4,3,5,6767,24180,"(21364.0, 24660.0]"
中原机械集团有限公司001297,9.1377862685272876e+017,0,,县级,2,1,4,676767,21470,"(21364.0, 24660.0]"
嘉禾能源集团有限公司001298,9.13557356e+017,0,0,县级,7,1,1,-2323432,27320,"(24660.0, 27972.0]"
永泰环保集团有限公司001299,9.1373228570424025e+017,1,1,省级,1,2,3,565656,19290,"(17855.0, 21364.0]"
嘉禾材料有限责任公司001300,9.1396467386569044e+017,1,1,省级,4,,4,6767,22900,"(21364.0, 24660.0]"
嘉禾纺织股份有限公司001301,9.1306e+017,0,1,市级,5,6,5,5656,14470,"(10954.0, 14480.0]"
星河材料集团有限公司001302,9.130339801387162e+017,0,1,国家级,,,5,343434,8500,"(7370.0, 10954.0]"
华泰电子集团有限公司001303,9.136702772e+017,,1,市级,1,1,3,-3434545,8510,"(7370.0, 10954.0]"
盛世科技有限责任公司001304,9.130553629e+017,0,1,市级,4,5,3,676767,20310,"(17855.0, 21364.0]"
天成网络有限公司001305,9.13882165119e+017,,1,市级,5,2,2,-2323432,27190,"(24660.0, 27972.0]"
瑞丰纺织集团有限公司001306,9.1388e+017,0,0,市级,7,7,2,676767,15840,"(14480.0, 17855.0]"
金鼎智能集团有限公司001307,9.1363409412180525e+017,1,0,市级,2,1,6,565656,11750,"(10954.0, 14480.0]"
